Group,Sex,Weight,Mat-Time,Growth-Rate
Non-Cohabitated,M,317,50,6.34
Non-Cohabitated,M,355,50,7.1
Non-Cohabitated,M,349,51,6.8431373
Non-Cohabitated,M,376,54,6.962963
Non-Cohabitated,M,409,55,7.4363636
Non-Cohabitated,M,382,55,6.9454545
Non-Cohabitated,M,390,55,7.0909091
Non-Cohabitated,M,414,56,7.3928571
Non-Cohabitated,M,377,56,6.7321429
Non-Cohabitated,M,406,56,7.25
Non-Cohabitated,M,379,56,6.7678571
Non-Cohabitated,M,447,56,7.9821429
Non-Cohabitated,M,396,56,7.0714286
Non-Cohabitated,M,419,56,7.4821429
Non-Cohabitated,M,379,56,6.7678571
Non-Cohabitated,M,418,56,7.4642857
Non-Cohabitated,M,380,56,6.7857143
Non-Cohabitated,M,453,56,8.0892857
Non-Cohabitated,M,362,56,6.4642857
Non-Cohabitated,M,438,56,7.8214286
Non-Cohabitated,M,383,56,6.8392857
Non-Cohabitated,M,369,56,6.5892857
Non-Cohabitated,M,405,56,7.2321429
Non-Cohabitated,M,360,57,6.3157895
Non-Cohabitated,M,387,57,6.7894737
Non-Cohabitated,M,423,57,7.4210526
Non-Cohabitated,M,431,57,7.5614035
Non-Cohabitated,M,392,57,6.877193
Non-Cohabitated,M,414,57,7.2631579
Non-Cohabitated,M,449,57,7.877193
Non-Cohabitated,M,408,57,7.1578947
Non-Cohabitated,M,467,57,8.1929825
Non-Cohabitated,M,430,57,7.5438596
Non-Cohabitated,M,426,57,7.4736842
Non-Cohabitated,M,410,57,7.1929825
Non-Cohabitated,M,420,57,7.3684211
Non-Cohabitated,M,374,57,6.5614035
Non-Cohabitated,M,373,58,6.4310345
Non-Cohabitated,M,450,58,7.7586207
Non-Cohabitated,M,378,58,6.5172414
Non-Cohabitated,M,406,58,7
Non-Cohabitated,M,375,58,6.4655172
Non-Cohabitated,M,494,58,8.5172414
Non-Cohabitated,M,447,58,7.7068966
Non-Cohabitated,M,435,58,7.5
Non-Cohabitated,M,476,59,8.0677966
Non-Cohabitated,M,378,59,6.4067797
Non-Cohabitated,M,392,59,6.6440678
Non-Cohabitated,M,425,59,7.2033898
Non-Cohabitated,M,471,59,7.9830508
Non-Cohabitated,M,366,60,6.1
Non-Cohabitated,M,387,60,6.45
Non-Cohabitated,M,345,60,5.75
Non-Cohabitated,M,391,64,6.109375
Non-Cohabitated,M,232,55,4.2181818
Non-Cohabitated,M,327,60,5.45
Non-Cohabitated,M,372,61,6.0983607
Non-Cohabitated,M,290,61,4.7540984
Non-Cohabitated,M,327,61,5.3606557
Non-Cohabitated,M,278,61,4.557377
Non-Cohabitated,M,327,62,5.2741935
Non-Cohabitated,M,335,63,5.3174603
Non-Cohabitated,M,323,63,5.1269841
Non-Cohabitated,M,269,63,4.2698413
Non-Cohabitated,M,267,63,4.2380952
Non-Cohabitated,M,292,63,4.6349206
Non-Cohabitated,M,284,63,4.5079365
Non-Cohabitated,M,297,63,4.7142857
Non-Cohabitated,M,332,64,5.1875
Non-Cohabitated,M,300,64,4.6875
Non-Cohabitated,M,272,64,4.25
Non-Cohabitated,M,308,64,4.8125
Non-Cohabitated,M,302,64,4.71875
Non-Cohabitated,M,282,64,4.40625
Non-Cohabitated,M,279,65,4.2923077
Non-Cohabitated,M,301,65,4.6307692
Non-Cohabitated,M,267,65,4.1076923
Non-Cohabitated,M,275,65,4.2307692
Non-Cohabitated,M,279,65,4.2923077
